,Name  ↓,Type  ↓,Strain  ↓,Style  ↓
2216,WLP530 Tripel 425 01 BS,Beer,WLP530,Tripel
2217,WLP545 Tripel 425 02 BS,Beer,WLP545,Tripel
2218,WLP550 Tripel 425 03 BS,Beer,WLP550,Tripel
2219,WLP570 Tripel 425 04 BS,Beer,WLP570,Tripel
2220,WLP004 Milk Stout 426 01 BS,Beer,WLP004,Milk Stout
2221,WLP028 Milk Stout 426 02 BS,Beer,WLP028,Milk Stout
2222,WLP500 Milk Stout 426 03 BS,Beer,WLP500,Milk Stout
2223,WLP510 Milk Stout 426 04 BS,Beer,WLP510,Milk Stout
2224,WLP001 Porter 427 01 BS,Beer,WLP001,Porter
2225,WLP060 Porter 427 02 BS,Beer,WLP060,Porter
2226,WLP095 Porter 427 03 BS,Beer,WLP095,Porter
2227,WLP515 Porter 427 04 BS,Beer,WLP515,Porter
2228,WLP036 Roggenbier 428 01 BS,Beer,WLP036,Roggenbier
2229,WLP380 Roggenbier 428 02 BS,Beer,WLP380,Roggenbier
2230,WLP564 Roggenbier 428 03 BS,Beer,WLP564,Roggenbier
2231,WLP585 Roggenbier 428 04 BS,Beer,WLP585,Roggenbier
2232,WLP565 Saison 429 01 BS,Beer,WLP565,Saison
2233,WLP566 Saison 429 02 BS,Beer,WLP566,Saison
2234,WLP590 Saison 429 03 BS,Beer,WLP590,Saison
2235,WLP644 Saison 429 04 BS,Beer,WLP644,Saison
2236,WLP300 Witbier 430 01 BS,Beer,WLP300,Witbier
2237,WLP320 Witbier 430 02 BS,Beer,WLP320,Witbier
2238,WLP400 Witbier 430 03 BS,Beer,WLP400,Witbier
2239,WLP410 Witbier 430 04 BS,Beer,WLP410,Witbier
2240,WLP003 Rye Beer 431 01 BS,Beer,WLP003,Rye Beer
2241,WLP009 Rye Beer 431 02 BS,Beer,WLP009,Rye Beer
2242,WLP041 Rye Beer 431 03 BS,Beer,WLP041,Rye Beer
2243,WLP051 Rye Beer 431 04 BS,Beer,WLP051,Rye Beer
2244,WLP530 Tripel 432 01 BS,Beer,WLP530,Tripel
2245,WLP545 Tripel 432 02 BS,Beer,WLP545,Tripel
2246,WLP550 Tripel 432 03 BS,Beer,WLP550,Tripel
2247,WLP570 Tripel 432 04 BS,Beer,WLP570,Tripel
2248,WLP001 American Pale Ale 433 01 BS,Beer,WLP001,American Pale Ale
2249,WLP006 American Pale Ale 433 02 BS,Beer,WLP006,American Pale Ale
2250,WLP008 American Pale Ale 433 03 BS,Beer,WLP008,American Pale Ale
2251,WLP550 American Pale Ale 433 04 BS,Beer,WLP550,American Pale Ale
2252,WLP001 Brown Porter 434 01 BS,Beer,WLP001,Brown Porter
2253,WLP060 Brown Porter 434 02 BS,Beer,WLP060,Brown Porter
2254,WLP095 Brown Porter 434 03 BS,Beer,WLP095,Brown Porter
2255,WLP515 Brown Porter 434 04 BS,Beer,WLP515,Brown Porter
2256,WLP004 Milk Stout 435 01 BS,Beer,WLP004,Milk Stout
2257,WLP028 Milk Stout 435 02 BS,Beer,WLP028,Milk Stout
2258,WLP500 Milk Stout 435 03 BS,Beer,WLP500,Milk Stout
2259,WLP510 Milk Stout 435 04 BS,Beer,WLP510,Milk Stout
2260,WLP565 Saison 436 01 BS,Beer,WLP565,Saison
2261,WLP566 Saison 436 02 BS,Beer,WLP566,Saison
2262,WLP590 Saison 436 03 BS,Beer,WLP590,Saison
2263,WLP644 Saison 436 04 BS,Beer,WLP644,Saison
2264,WLP530 Tripel 437 01 BS,Beer,WLP530,Tripel
2265,WLP545 Tripel 437 02 BS,Beer,WLP545,Tripel
2266,WLP550 Tripel 437 03 BS,Beer,WLP550,Tripel
2267,WLP570 Tripel 437 04 BS,Beer,WLP570,Tripel
2268,WLP300 Witbier 438 01 BS,Beer,WLP300,Witbier
2269,WLP320 Witbier 438 02 BS,Beer,WLP320,Witbier
2270,WLP400 Witbier 438 03 BS,Beer,WLP400,Witbier
2271,WLP410 Witbier 438 04 BS,Beer,WLP410,Witbier
2272,WLP565 Saison 441 01 BS,Beer,WLP565,Saison
2273,WLP566 Saison 441 02 BS,Beer,WLP566,Saison
2274,WLP590 Saison 441 03 BS,Beer,WLP590,Saison
2275,WLP644 Saison 441 04 BS,Beer,WLP644,Saison
2276,WLP500 Dubbel 442 01 BS,Beer,WLP500,Dubbel
2277,WLP540 Dubbel 442 02 BS,Beer,WLP540,Dubbel
2278,WLP545 Dubbel 442 03 BS,Beer,WLP545,Dubbel
2279,WLP530 Tripel 443 01 BS,Beer,WLP530,Tripel
2280,WLP545 Tripel 443 02 BS,Beer,WLP545,Tripel
2281,WLP550 Tripel 443 03 BS,Beer,WLP550,Tripel
2282,WLP570 Tripel 443 04 BS,Beer,WLP570,Tripel
2283,WLP565 Saison 444 01 BS,Beer,WLP565,Saison
2284,WLP566 Saison 444 02 BS,Beer,WLP566,Saison
2285,WLP400 Witbier 445 03 BS,Beer,WLP400,Witbier
2286,WLP410 Witbier 445 04 BS,Beer,WLP410,Witbier
2287,WLP001 Porter 446 01 BS,Beer,WLP001,Porter
2288,WLP060 Porter 446 02 BS,Beer,WLP060,Porter
2289,WLP095 Porter 446 03 BS,Beer,WLP095,Porter
2290,WLP515 Porter 446 04 BS,Beer,WLP515,Porter
2291,WLP004 Milk Stout 447 01 BS,Beer,WLP004,Milk Stout
2292,WLP028 Milk Stout 447 02 BS,Beer,WLP028,Milk Stout
2293,WLP500 Milk Stout 447 03 BS,Beer,WLP500,Milk Stout
2294,WLP510 Milk Stout 447 04 BS,Beer,WLP510,Milk Stout
2295,WLP530 Tripel 448 01 BS,Beer,WLP530,Tripel
2296,WLP545 Tripel 448 02 BS,Beer,WLP545,Tripel
2297,WLP550 Tripel 448 03 BS,Beer,WLP550,Tripel
2298,WLP570 Tripel 448 04 BS,Beer,WLP570,Tripel
2299,WLP565 Saison 450 01 BS,Beer,WLP565,Saison
2300,WLP566 Saison 450 02 BS,Beer,WLP566,Saison
2301,WLP585 Saison 450 03 BS,Beer,WLP585,Saison
2302,WLP644 Saison 450 04 BS,Beer,WLP644,Saison
2303,WLP072 Witbier 454 01 BS,Beer,WLP072,Witbier
2304,WLP300 Witbier 454 02 BS,Beer,WLP300,Witbier
2305,WLP400 Witbier 454 03 BS,Beer,WLP400,Witbier
2306,WLP550 Witbier 454 04 BS,Beer,WLP550,Witbier
2307,WLP004 Milk Stout 456 01 BS,Beer,WLP004,Milk Stout
2308,WLP028 Milk Stout 456 02 BS,Beer,WLP028,Milk Stout
2309,WLP500 Milk Stout 456 03 BS,Beer,WLP500,Milk Stout
2310,WLP510 Milk Stout 456 04 BS,Beer,WLP510,Milk Stout
2311,WLP565 Saison 458 01 BS,Beer,WLP565,Saison
2312,WLP566 Saison 458 02 BS,Beer,WLP566,Saison
2313,WLP585 Saison 458 03 BS,Beer,WLP585,Saison
2314,WLP644 Saison 458 04 BS,Beer,WLP644,Saison
2315,WLP001 Am. Red 459 01 BS,Beer,WLP001,Am. Red
2316,WLP013 Am. Red 459 02 BS,Beer,WLP013,Am. Red
2317,WLP023 Am. Red 459 03 BS,Beer,WLP023,Am. Red
2318,WLP051 Am. Red 459 04 BS,Beer,WLP051,Am. Red
2319,WLP530 Tripel 460 01 BS,Beer,WLP530,Tripel
2320,WLP545 Tripel 460 02 BS,Beer,WLP545,Tripel
2321,WLP550 Tripel 460 03 BS,Beer,WLP550,Tripel
2322,WLP570 Tripel 460 04 BS,Beer,WLP570,Tripel
2323,WLP300 Tripel 461 01 BS,Beer,WLP300,Tripel
2324,WLP320 Tripel 461 02 BS,Beer,WLP320,Tripel
2325,WLP400 Tripel 461 03 BS,Beer,WLP400,Tripel
2326,WLP410 Tripel 461 04 BS,Beer,WLP410,Tripel
2327,WLP008 Rye Beer 462 01 BS,Beer,WLP008,Rye Beer
2328,WLP009 Rye Beer 462 02 BS,Beer,WLP009,Rye Beer
2329,WLP051 Rye Beer 462 03 BS,Beer,WLP051,Rye Beer
2330,WLP072 Rye Beer 462 04 BS,Beer,WLP072,Rye Beer
2331,WLP004 Milk Stout 463 01 BS,Beer,WLP004,Milk Stout
2332,WLP028 Milk Stout 463 02 BS,Beer,WLP028,Milk Stout
2333,WLP500 Milk Stout 463 03 BS,Beer,WLP500,Milk Stout
2334,WLP510 Milk Stout 463 04 BS,Beer,WLP510,Milk Stout
2335,WLP500 Belgian Ale 465 01 BS,Beer,WLP500,Belgian Ale
2336,WLP501 Belgian Ale 465 02 BS,Beer,WLP501,Belgian Ale
2337,WLP515 Belgian Ale 465 03 BS,Beer,WLP515,Belgian Ale
2338,WLP530 Belgian Ale 465 04 BS,Beer,WLP530,Belgian Ale
2339,WLP023 Rye Beer 466 01 BS,Beer,WLP023,Rye Beer
2340,WLP410 Rye Beer 466 02 BS,Beer,WLP410,Rye Beer
2341,WLP565 Rye Beer 466 03 BS,Beer,WLP565,Rye Beer
2342,WLP590 Rye Beer 466 04 BS,Beer,WLP590,Rye Beer
2343,WLP028 American IPA 467 01 BS,Beer,WLP028,American IPA
2344,WLP072 American IPA 467 02 BS,Beer,WLP072,American IPA
2345,WLP090 American IPA 467 03 BS,Beer,WLP090,American IPA
2346,WLP515 American IPA 467 04 BS,Beer,WLP515,American IPA
2347,WLP006 Am. Amber 468 01 BS,Beer,WLP006,Am. Amber
2348,WLP036 Am. Amber 468 02 BS,Beer,WLP036,Am. Amber
2349,WLP050 Am. Amber 468 03 BS,Beer,WLP050,Am. Amber
2350,WLP530 Am. Amber 468 04 BS,Beer,WLP530,Am. Amber
2351,WLP001 Porter 469 01 BS,Beer,WLP001,Porter
2352,WLP003 Porter 469 02 BS,Beer,WLP003,Porter
2353,WLP007 Porter 469 03 BS,Beer,WLP007,Porter
2354,WLP550 Porter 469 04 BS,Beer,WLP550,Porter
2355,WLP029 Wheat Ale 470 01 BS,Beer,WLP029,Wheat Ale
2356,WLP300 Wheat Ale 470 02 BS,Beer,WLP300,Wheat Ale
2357,WLP380 Wheat Ale 470 03 BS,Beer,WLP380,Wheat Ale
2358,WLP715 Wheat Ale 470 04 BS,Beer,WLP715,Wheat Ale
2359,WLP023 Rye Beer 471 01 BS,Beer,WLP023,Rye Beer
2360,WLP410 Rye Beer 471 02 BS,Beer,WLP410,Rye Beer
2361,WLP565 Rye Beer 471 03 BS,Beer,WLP565,Rye Beer
2362,WLP590 Rye Beer 471 04 BS,Beer,WLP590,Rye Beer
2363,WLP028 American IPA 472 01 BS,Beer,WLP028,American IPA
2364,WLP072 American IPA 472 02 BS,Beer,WLP072,American IPA
2365,WLP090 American IPA 472 03 BS,Beer,WLP090,American IPA
2366,WLP515 American IPA 472 04 BS,Beer,WLP515,American IPA
2367,WLP006 Am. Amber 473 01 BS,Beer,WLP006,Am. Amber
2368,WLP036 Am. Amber 473 02 BS,Beer,WLP036,Am. Amber
2369,WLP050 Am. Amber 473 03 BS,Beer,WLP050,Am. Amber
2370,WLP530 Am. Amber 473 04 BS,Beer,WLP530,Am. Amber
2371,WLP001 Porter 474 01 BS,Beer,WLP001,Porter
2372,WLP003 Porter 474 02 BS,Beer,WLP003,Porter
2373,WLP007 Porter 474 03 BS,Beer,WLP007,Porter
2374,WLP550 Porter 474 04 BS,Beer,WLP550,Porter
2375,WLP530 Strong Ale 475 01 BS,Beer,WLP530,Strong Ale
2376,WLP545 Strong Ale 475 02 BS,Beer,WLP545,Strong Ale
2377,WLP001 American Brown Ale 476 01 BS,Beer,WLP001,American Brown Ale
2378,WLP006 American Brown Ale 476 02 BS,Beer,WLP006,American Brown Ale
2379,WLP028 American Brown Ale 476 03 BS,Beer,WLP028,American Brown Ale
2380,WLP862 American Brown Ale 476 04 BS,Beer,WLP862,American Brown Ale
2381,WLP029 Wheat Ale 479 01 BS,Beer,WLP029,Wheat Ale
2382,WLP300 Wheat Ale 479 02 BS,Beer,WLP300,Wheat Ale
2383,WLP380 Wheat Ale 479 03 BS,Beer,WLP380,Wheat Ale
2384,WLP715 Wheat Ale 479 04 BS,Beer,WLP715,Wheat Ale
2385,WLP041 Dunkel 481 01 BS,Beer,WLP041,Dunkel
2386,WLP320 Dunkel 481 02 BS,Beer,WLP320,Dunkel
2387,WLP380 Dunkel 481 03 BS,Beer,WLP380,Dunkel
2388,WLP400 Dunkel 481 04 BS,Beer,WLP400,Dunkel
2389,WLP023 Rye Beer 482 01 BS,Beer,WLP023,Rye Beer
2390,WLP410 Rye Beer 482 02 BS,Beer,WLP410,Rye Beer
2391,WLP565 Rye Beer 482 03 BS,Beer,WLP565,Rye Beer
2392,WLP590 Rye Beer 482 04 BS,Beer,WLP590,Rye Beer
2393,WLP001 Porter 483 01 BS,Beer,WLP001,Porter
2394,WLP003 Porter 483 02 BS,Beer,WLP003,Porter
2395,WLP007 Porter 483 03 BS,Beer,WLP007,Porter
2396,WLP550 Porter 483 04 BS,Beer,WLP550,Porter
2397,WLP566 Saison 487 01 BS,Beer,WLP566,Saison
2398,WLP566 Saison 490 01 BS,Beer,WLP566,Saison
2399,WLP300 Wheat Ale 491 01 BS,Beer,WLP300,Wheat Ale
2400,WLP320 Wheat Ale 492 01 BS,Beer,WLP320,Wheat Ale
2401,WLP006 Am. Amber 493 01 BS,Beer,WLP006,Am. Amber
2402,WLP036 Am. Amber 493 02 BS,Beer,WLP036,Am. Amber
2403,Pale Ale JK brew,Recipe,,Pale Ale
2404,ESB Best Bitters WL Spec,Recipe,,ESB Best Bitters
2405,WLP564 Saison 199 032 BS,Beer,WLP564,Saison
2406,Tabberer IPA Spec Sheet,Recipe,,Tabberer IPA
2407,Pasteur Porter Spec Sheet,Recipe,,Pasteur Porter
2408,Leeuwenhoek Saison Spec Sheet,Recipe,,Leeuwenhoek Saison
2409,DeClerck Dubbel Spec Sheet,Recipe,,DeClerck Dubbel
2410,Hansen Hefeweizen Spec Sheet,Recipe,,Hansen Hefeweizen
2411,Buchner Pale Ale Spec Sheet,Recipe,,Buchner Pale Ale
2412,Blend Stout 153 3 BS,Beer,Blend,*
2413,BLEND American Pale Ale 106 1001090 BM,Beer,BLEND,American Pale Ale
2414,Blend American Pale Ale 151 1 BM,Beer,Blend,*
